total_distance,avg_distance,matching,mse,query_no,attack_type,n_selected
0.514302670955658,0.514302670955658,"[(0, 0)]",0.0005166157498024404,15,centroid,110
0.7215778231620789,0.7215778231620789,"[(0, 0)]",0.0010169425513595343,15,score_known,110
22.571517944335938,22.571517944335938,"[(0, 0)]",0.9950652122497559,16,random,10
0.39649635553359985,0.39649635553359985,"[(0, 0)]",0.00030704954406246543,16,centroid,10
0.4840168058872223,0.4840168058872223,"[(0, 0)]",0.0004575630300678313,16,score_known,10
23.63401985168457,23.63401985168457,"[(0, 0)]",1.0909509658813477,16,random,60
0.44450441002845764,0.44450441002845764,"[(0, 0)]",0.0003859065764117986,16,centroid,60
0.729295551776886,0.729295551776886,"[(0, 0)]",0.001038812450133264,16,score_known,60
21.993478775024414,21.993478775024414,"[(0, 0)]",0.9447520971298218,16,random,110
0.4632777273654938,0.4632777273654938,"[(0, 0)]",0.0004191918997094035,16,centroid,110
0.8376733660697937,0.8376733660697937,"[(0, 0)]",0.0013705013552680612,16,score_known,110
23.51556396484375,23.51556396484375,"[(0, 0)]",1.0800424814224243,17,random,10
0.3664533793926239,0.3664533793926239,"[(0, 0)]",0.00026228142087347806,17,centroid,10
0.42708832025527954,0.42708832025527954,"[(0, 0)]",0.00035625864984467626,17,score_known,10
23.021381378173828,23.021381378173828,"[(0, 0)]",1.0351250171661377,17,random,60
0.4087271988391876,0.4087271988391876,"[(0, 0)]",0.0003262850223109126,17,centroid,60
0.7455969452857971,0.7455969452857971,"[(0, 0)]",0.0010857711313292384,17,score_known,60
22.65978240966797,22.65978240966797,"[(0, 0)]",1.002862811088562,17,random,110
0.4339425265789032,0.4339425265789032,"[(0, 0)]",0.0003677853965200484,17,centroid,110
1.0068655014038086,1.0068655014038086,"[(0, 0)]",0.0019800355657935143,17,score_known,110
21.568267822265625,21.568267822265625,"[(0, 0)]",0.908574640750885,18,random,10
0.33576837182044983,0.33576837182044983,"[(0, 0)]",0.0002201960887759924,18,centroid,10
0.5551696419715881,0.5551696419715881,"[(0, 0)]",0.0006019792053848505,18,score_known,10
22.41238021850586,22.41238021850586,"[(0, 0)]",0.9810835719108582,18,random,60
0.4138796925544739,0.4138796925544739,"[(0, 0)]",0.00033456325763836503,18,centroid,60
0.6173301935195923,0.6173301935195923,"[(0, 0)]",0.0007443292415700853,18,score_known,60
23.075054168701172,23.075054168701172,"[(0, 0)]",1.0399572849273682,18,random,110
0.4407466650009155,0.4407466650009155,"[(0, 0)]",0.0003794094081968069,18,centroid,110
0.6665201783180237,0.6665201783180237,"[(0, 0)]",0.0008676740690134466,18,score_known,110
23.205398559570312,23.205398559570312,"[(0, 0)]",1.05173921585083,19,random,10
0.35438072681427,0.35438072681427,"[(0, 0)]",0.0002452845801599324,19,centroid,10
0.49512362480163574,0.49512362480163574,"[(0, 0)]",0.00047880352940410376,19,score_known,10
22.629417419433594,22.629417419433594,"[(0, 0)]",1.0001767873764038,19,random,60
0.42170974612236023,0.42170974612236023,"[(0, 0)]",0.0003473420219961554,19,centroid,60
0.6779363751411438,0.6779363751411438,"[(0, 0)]",0.0008976517710834742,19,score_known,60
22.03331184387207,22.03331184387207,"[(0, 0)]",0.9481773376464844,19,random,110
0.4540352523326874,0.4540352523326874,"[(0, 0)]",0.000402632838813588,19,centroid,110
1.0330196619033813,1.0330196619033813,"[(0, 0)]",0.0020842375233769417,19,score_known,110
23.400405883789062,23.400405883789062,"[(0, 0)]",1.0694901943206787,20,random,10
0.42876359820365906,0.42876359820365906,"[(0, 0)]",0.0003590590204112232,20,centroid,10
0.4677034914493561,0.4677034914493561,"[(0, 0)]",0.0004272393707651645,20,score_known,10
22.72303009033203,22.72303009033203,"[(0, 0)]",1.0084689855575562,20,random,60
0.4403618276119232,0.4403618276119232,"[(0, 0)]",0.00037874715053476393,20,centroid,60
0.6219186186790466,0.6219186186790466,"[(0, 0)]",0.0007554350304417312,20,score_known,60
22.277429580688477,22.277429580688477,"[(0, 0)]",0.9693043828010559,20,random,110
0.44966891407966614,0.44966891407966614,"[(0, 0)]",0.00039492605719715357,20,centroid,110
0.8511027097702026,0.8511027097702026,"[(0, 0)]",0.001414796570315957,20,score_known,110
23.707250595092773,23.707250595092773,"[(0, 0)]",1.0977221727371216,21,random,10
0.35677123069763184,0.35677123069763184,"[(0, 0)]",0.00024860489065758884,21,centroid,10
0.46182993054389954,0.46182993054389954,"[(0, 0)]",0.0004165759601164609,21,score_known,10
22.336315155029297,22.336315155029297,"[(0, 0)]",0.9744354486465454,21,random,60
0.39304691553115845,0.39304691553115845,"[(0, 0)]",0.00030173020786605775,21,centroid,60
0.6084166765213013,0.6084166765213013,"[(0, 0)]",0.0007229899638332427,21,score_known,60
21.441171646118164,21.441171646118164,"[(0, 0)]",0.8978981971740723,21,random,110
0.40880417823791504,0.40880417823791504,"[(0, 0)]",0.00032640789868310094,21,centroid,110
0.8068655729293823,0.8068655729293823,"[(0, 0)]",0.0012715470511466265,21,score_known,110
23.246625900268555,23.246625900268555,"[(0, 0)]",1.055479645729065,22,random,10
0.32075008749961853,0.32075008749961853,"[(0, 0)]",0.00020093872444704175,22,centroid,10
0.3371562659740448,0.3371562659740448,"[(0, 0)]",0.00022202021500561386,22,score_known,10
22.894487380981445,22.894487380981445,"[(0, 0)]",1.0237452983856201,22,random,60
0.3534114956855774,0.3534114956855774,"[(0, 0)]",0.0002439447125652805,22,centroid,60
0.687942624092102,0.687942624092102,"[(0, 0)]",0.0009243457461707294,22,score_known,60
22.445575714111328,22.445575714111328,"[(0, 0)]",0.9839918613433838,22,random,110
