round,AGGREGATION_METHOD,GRAD_MODE,TRIGGER_RATE,IS_SYBIL,ADV_RATE,CHANGE_BASE,IID,main_acc,main_loss,clean_acc,triggered_acc,asr,malicious_rate,benign_rate,avg_malicious_rate,avg_benign_rate,baseline_client_id,malicious_baseline
7,martfl,single,0.25,False,0.3,False,NonIID,0.7261,0.671665012216568,0.73,0.2544,0.7894,1.0,0.7142857142857143,0.8333333333333334,0.5654761904761905,,
8,martfl,single,0.25,False,0.3,False,NonIID,0.7115,0.7356190839767456,0.725,0.2577,0.8254,1.0,0.5714285714285714,0.8518518518518519,0.566137566137566,,
9,martfl,single,0.25,False,0.3,False,NonIID,0.7457,0.6233553352832795,0.7478,0.2041,0.8811,1.0,0.7142857142857143,0.8666666666666668,0.5809523809523809,,
10,martfl,single,0.25,False,0.3,False,NonIID,0.7406,0.6798278906822205,0.7562,0.1897,0.9032,1.0,0.42857142857142855,0.8787878787878789,0.5670995670995671,,
11,martfl,single,0.25,False,0.3,False,NonIID,0.7663,0.5640330613136292,0.7728,0.1928,0.8946,1.0,0.7142857142857143,0.888888888888889,0.5793650793650794,,
12,martfl,single,0.25,False,0.3,False,NonIID,0.7365,0.7394425256252288,0.748,0.2019,0.8889,0.5555555555555556,0.38095238095238093,0.8632478632478633,0.5641025641025641,,
13,martfl,single,0.25,False,0.3,False,NonIID,0.77,0.5616583186626435,0.7754,0.1689,0.924,1.0,0.6666666666666666,0.8730158730158731,0.5714285714285714,,
14,martfl,single,0.25,False,0.3,False,NonIID,0.7578,0.6467842134952545,0.771,0.1568,0.9378,0.8888888888888888,0.38095238095238093,0.8740740740740741,0.5587301587301587,,
15,martfl,single,0.25,False,0.3,False,NonIID,0.7701,0.5757813887119293,0.7741,0.1337,0.9612,1.0,0.6190476190476191,0.8819444444444445,0.5625,,
16,martfl,single,0.25,False,0.3,False,NonIID,0.7685,0.6317930840969086,0.7803,0.1489,0.9462,0.7777777777777778,0.3333333333333333,0.8758169934640524,0.5490196078431373,,
17,martfl,single,0.25,False,0.3,False,NonIID,0.7938,0.523201350736618,0.7987,0.1326,0.9635,1.0,0.6666666666666666,0.8827160493827162,0.5555555555555556,,
18,martfl,single,0.25,False,0.3,False,NonIID,0.7755,0.5902544310092926,0.7893,0.1384,0.9577,0.8888888888888888,0.38095238095238093,0.8830409356725146,0.5463659147869674,,
19,martfl,single,0.25,False,0.3,False,NonIID,0.8007,0.5079510802745819,0.8065,0.1278,0.9682,1.0,0.6666666666666666,0.888888888888889,0.5523809523809524,,
20,martfl,single,0.25,False,0.3,False,NonIID,0.7801,0.5982879084587097,0.7916,0.1364,0.9597,0.7777777777777778,0.3333333333333333,0.8835978835978837,0.5419501133786848,,
21,martfl,single,0.25,False,0.3,False,NonIID,0.8036,0.4997660931110382,0.808,0.1245,0.9717,1.0,0.6666666666666666,0.888888888888889,0.5476190476190476,,
22,martfl,single,0.25,False,0.3,False,NonIID,0.7792,0.6037251792430878,0.7896,0.1387,0.9573,0.5555555555555556,0.38095238095238093,0.8743961352657006,0.5403726708074534,,
0,martfl,single,0.25,False,0.4,True,NonIID,0.3776,1.6305426055908203,0.3869,0.3503,0.6405,0.9166666666666666,0.6666666666666666,0.9166666666666666,0.6666666666666666,14,False
1,martfl,single,0.25,False,0.4,True,NonIID,0.4973,1.2132455023765565,0.5021,0.5771,0.1183,0.75,0.4444444444444444,0.8333333333333333,0.5555555555555556,adv_8,True
2,martfl,single,0.25,False,0.4,True,NonIID,0.7136,0.7705349000930786,0.7256,0.167,0.9263,0.75,0.0,0.8055555555555555,0.3703703703703704,adv_2,True
3,martfl,single,0.25,False,0.4,True,NonIID,0.7336,0.7134339091777802,0.7449,0.122,0.9752,0.75,0.0,0.7916666666666666,0.2777777777777778,adv_7,True
4,martfl,single,0.25,False,0.4,True,NonIID,0.7484,0.6508914482116699,0.7603,0.1166,0.9808,0.75,0.0,0.7833333333333333,0.22222222222222224,adv_2,True
5,martfl,single,0.25,False,0.4,True,NonIID,0.7246,0.7221610354423523,0.7316,0.0975,1.0,0.08333333333333333,0.0,0.6666666666666666,0.1851851851851852,adv_2,True
6,martfl,single,0.25,False,0.4,True,NonIID,0.7588,0.6391702474594116,0.7759,0.098,0.9995,0.08333333333333333,0.0,0.5833333333333333,0.15873015873015875,adv_2,True
7,martfl,single,0.25,False,0.4,True,NonIID,0.7396,0.7034211356639862,0.744,0.1066,0.9908,0.08333333333333333,0.0,0.5208333333333333,0.1388888888888889,adv_2,True
8,martfl,single,0.25,False,0.4,True,NonIID,0.7729,0.6030157295703888,0.7801,0.1201,0.9765,0.08333333333333333,0.0,0.4722222222222221,0.1234567901234568,adv_2,True
9,martfl,single,0.25,False,0.4,True,NonIID,0.7935,0.6310906477451325,0.7972,0.1096,0.9875,0.08333333333333333,0.0,0.43333333333333324,0.11111111111111112,adv_2,True
10,martfl,single,0.25,False,0.4,True,NonIID,0.747,0.6992281240463257,0.7614,0.1057,0.9909,0.08333333333333333,0.0,0.4015151515151514,0.10101010101010101,adv_2,True
11,martfl,single,0.25,False,0.4,True,NonIID,0.7373,0.7174383206367493,0.7461,0.1026,0.9947,0.08333333333333333,0.0,0.37499999999999983,0.0925925925925926,adv_2,True
12,martfl,single,0.25,False,0.4,True,NonIID,0.7883,0.5721087922573089,0.8026,0.1025,0.9944,0.08333333333333333,0.0,0.3525641025641024,0.08547008547008547,adv_2,True
13,martfl,single,0.25,False,0.4,True,NonIID,0.7716,0.6161549969673157,0.7843,0.1041,0.9931,0.08333333333333333,0.0,0.33333333333333315,0.07936507936507937,adv_2,True
14,martfl,single,0.25,False,0.4,True,NonIID,0.8043,0.5791042706012726,0.8128,0.1036,0.9935,0.08333333333333333,0.0,0.3166666666666665,0.07407407407407408,adv_2,True
15,martfl,single,0.25,False,0.4,True,NonIID,0.8115,0.5715596802711487,0.8198,0.1015,0.9956,0.08333333333333333,0.0,0.30208333333333315,0.06944444444444445,adv_2,True
16,martfl,single,0.25,False,0.4,True,NonIID,0.792,0.6289368067264557,0.8042,0.1025,0.9945,0.08333333333333333,0.0,0.2892156862745096,0.06535947712418301,adv_2,True
17,martfl,single,0.25,False,0.4,True,NonIID,0.8082,0.634014789390564,0.8165,0.1023,0.9951,0.08333333333333333,0.0,0.27777777777777757,0.0617283950617284,adv_2,True
18,martfl,single,0.25,False,0.4,True,NonIID,0.8041,0.6421203263282775,0.8139,0.1167,0.9799,0.08333333333333333,0.0,0.2675438596491226,0.058479532163742694,adv_2,True
19,martfl,single,0.25,False,0.4,True,NonIID,0.7993,0.6597749083518982,0.8094,0.1005,0.997,0.08333333333333333,0.0,0.25833333333333314,0.05555555555555556,adv_2,True
20,martfl,single,0.25,False,0.4,True,NonIID,0.7931,0.6628793601036072,0.8032,0.1025,0.9949,0.08333333333333333,0.0,0.24999999999999978,0.052910052910052914,adv_2,True
0,martfl,single,0.25,False,0.4,False,NonIID,0.3776,1.6305426055908203,0.3869,0.3503,0.6405,0.9166666666666666,0.6666666666666666,0.9166666666666666,0.6666666666666666,,
1,martfl,single,0.25,False,0.4,False,NonIID,0.6065,1.0425929400444032,0.6087,0.577,0.1644,0.8333333333333334,0.5,0.875,0.5833333333333333,,
2,martfl,single,0.25,False,0.4,False,NonIID,0.5304,1.922500203704834,0.5449,0.4214,0.2989,0.08333333333333333,0.2777777777777778,0.611111111111111,0.4814814814814814,,
3,martfl,single,0.25,False,0.4,False,NonIID,0.5762,1.107898917388916,0.5888,0.5114,0.299,0.6666666666666666,0.5555555555555556,0.625,0.49999999999999994,,
4,martfl,single,0.25,False,0.4,False,NonIID,0.6368,0.9720765130996704,0.6459,0.3106,0.7369,1.0,0.5,0.7,0.5,,
5,martfl,single,0.25,False,0.4,False,NonIID,0.6894,0.779542227268219,0.695,0.216,0.8379,0.8333333333333334,0.6666666666666666,0.7222222222222222,0.5277777777777778,,
